,SoBD,Toan,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,Unnamed: 10,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1,Ma Tinh,Ten Tinh,Vung mien
18,19,6.6,7.5,5.0,6.25,4.25,4.25,5.25,7.75,9.0,,17.1,15.1,20.5,19.1,17.85,18, Bac Giang,Mien Bac
170,171,4.6,4.0,2.6,2.25,3.0,2.25,2.75,4.5,5.75,,9.85,9.85,11.25,11.2,9.45,18, Bac Giang,Mien Bac
178,179,5.0,5.25,3.2,5.75,4.25,4.75,4.25,5.5,7.5,,15.0,14.0,15.0,13.45,13.95,18, Bac Giang,Mien Bac
189,190,4.0,4.5,3.2,2.75,4.25,5.5,3.0,5.25,6.25,,11.0,13.75,12.75,11.7,9.95,18, Bac Giang,Mien Bac
194,195,3.8,5.75,2.8,2.75,3.0,2.75,3.5,6.0,7.0,,9.55,9.55,15.25,12.35,9.35,18, Bac Giang,Mien Bac
198,199,4.0,5.0,3.0,3.5,3.25,2.75,3.25,5.0,6.0,,10.75,10.0,13.25,12.0,10.5,18, Bac Giang,Mien Bac
317,318,6.4,7.5,4.2,3.5,4.5,4.0,2.5,6.0,7.5,,14.4,14.9,16.0,18.1,14.1,18, Bac Giang,Mien Bac
339,340,5.4,4.75,2.4,3.0,2.5,3.0,4.0,7.25,6.5,,10.9,10.9,16.0,12.55,10.8,18, Bac Giang,Mien Bac
508,509,4.0,6.0,2.6,2.0,4.5,2.25,3.75,5.75,6.75,,10.5,10.75,15.5,12.6,8.6,18, Bac Giang,Mien Bac
646,647,5.4,4.25,1.6,5.75,4.0,3.75,2.0,4.5,6.0,,15.15,13.15,10.75,11.25,12.75,18, Bac Giang,Mien Bac
801,802,6.2,7.5,6.2,6.5,5.5,5.5,4.5,7.25,8.5,,18.2,17.2,19.25,19.9,18.9,18, Bac Giang,Mien Bac
814,815,4.2,5.5,2.8,3.25,2.75,4.5,4.0,5.5,7.0,,10.2,11.45,15.0,12.5,10.25,18, Bac Giang,Mien Bac
819,820,5.0,7.25,5.8,6.25,6.25,5.5,2.5,6.0,7.25,,17.5,16.75,15.75,18.05,17.05,18, Bac Giang,Mien Bac
823,824,6.2,4.75,4.0,4.0,2.25,2.5,4.25,6.5,6.5,,12.45,10.95,15.5,14.95,14.2,18, Bac Giang,Mien Bac
824,825,6.0,8.5,6.4,2.75,2.5,5.0,3.5,6.5,6.25,,11.25,13.5,18.5,20.9,15.15,18, Bac Giang,Mien Bac
913,914,7.2,5.0,6.6,6.0,4.0,3.75,4.75,6.5,6.0,,17.2,14.95,16.25,18.8,19.8,18, Bac Giang,Mien Bac
926,927,4.6,5.0,3.2,4.0,3.25,3.5,2.75,4.75,7.75,,11.85,11.35,12.5,12.8,11.8,18, Bac Giang,Mien Bac
948,949,4.4,5.0,4.0,3.75,2.25,3.75,2.5,5.5,6.75,,10.4,10.4,13.0,13.4,12.15,18, Bac Giang,Mien Bac
1021,1022,6.0,4.75,7.4,6.5,3.5,5.5,6.5,7.25,7.25,,16.0,15.0,18.5,18.15,19.9,18, Bac Giang,Mien Bac
1050,1051,3.6,5.5,3.8,3.0,2.75,3.25,1.5,5.75,7.75,,9.35,9.6,12.75,12.9,10.4,18, Bac Giang,Mien Bac
1074,1075,6.0,6.0,2.0,2.75,4.75,6.25,5.5,6.75,8.25,,13.5,17.0,18.25,14.0,10.75,18, Bac Giang,Mien Bac
1075,1076,3.8,4.25,3.2,3.0,3.0,4.0,4.5,6.5,6.25,,9.8,10.8,15.25,11.25,10.0,18, Bac Giang,Mien Bac
1209,1210,7.0,5.0,5.4,4.75,4.0,3.25,2.5,5.5,5.25,,15.75,14.25,13.0,17.4,17.15,18, Bac Giang,Mien Bac
